INST_NOMBRE_INSTITUCION,PUNT_GLOBAL
UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,194.84685714285715
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,188.8861829025845
COLEGIO DE ESTUDIOS SUPERIORES DE ADMINISTRACION-CESA-BOGOTÁ D.C.,186.8
UNIVERSIDAD NACIONAL DE COLOMBIA-MEDELLIN,184.5345132743363
UNIVERSIDAD EIA-MEDELLIN,183.6904761904762
UNIVERSIDAD DE LA SABANA-CHIA,181.29724137931035
UNIVERSIDAD ICESI-CALI,179.9579100145138
COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO-BOGOTÁ D.C.,179.40829694323145
PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,179.14509306260575
UNIVERSIDAD DEL NORTE-BARRANQUILLA,178.41136474016514
PONTIFICIA UNIVERSIDAD JAVERIANA-CALI,175.71832884097034
UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,174.77247191011236
UNIVERSIDAD EAFIT--MEDELLIN,174.43875567077123
UNIVERSIDAD DISTRITALFRANCISCO JOSE DE CALDAS-BOGOTÁ D.C.,173.35602094240838
UNIVERSIDAD DE ANTIOQUIA-MEDELLIN,173.2221587664192
UNIVERSIDAD EXTERNADO DE COLOMBIA-BOGOTÁ D.C.,172.7550561797753
UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES,172.36075949367088
ESCUELA COLOMBIANA DE INGENIERIAJULIO GARAVITO-BOGOTÁ D.C.,172.2913907284768
UNIVERSIDAD CES-MEDELLIN,171.2013093289689
CENTRO DE EDUCACION MILITAR-BOGOTÁ D.C.,170.71428571428572
FUNDACION UNIVERSITARIA SEMINARIO BIBLICO DE COLOMBIA- FUSBC-MEDELLIN,170.5
UNIVERSIDAD PONTIFICIA BOLIVARIANA-MEDELLIN,170.09643483343075
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-SOGAMOSO,168.94652406417111
UNIVERSIDAD SERGIO ARBOLEDA-BOGOTÁ D.C.,168.9171597633136
UNIVERSIDAD DE ANTIOQUIA-CARMEN DE VIBORAL,167.40845070422534
UNIVERSIDAD EAN-BOGOTÁ D.C.,166.7414383561644
UNIVERSIDAD DE MEDELLIN-MEDELLIN,166.71691792294808
ESCUELA DE INTELIGENCIA Y CONTRAINTELIGENCIA BRIGADIER GENERAL RICARDO CHARRY SOLANO-BOGOTÁ D.C.,166.0
UNIVERSIDAD MILITARNUEVA GRANADA-BOGOTÁ D.C.,165.74720945502298
UNIVERSIDAD TECNOLOGICA DE BOLIVAR-CARTAGENA,165.67663817663816
UNIVERSIDAD AUTONOMA DE MANIZALES-MANIZALES,165.61945031712474
UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-BUCARAMANGA,165.2527918781726
FUNDACION UNIVERSIDAD DE AMERICA-BOGOTÁ D.C.,164.703007518797
FUNDACION UNIVERSIDAD DE BOGOTAJORGE TADEO LOZANO-BOGOTÁ D.C.,164.53552859618716
FUNDACION UNIVERSITARIA KONRAD LORENZ-BOGOTÁ D.C.,163.94482758620688
INSTITUCION UNIVERSITARIA COLOMBO AMERICANA - UNICA-BOGOTÁ D.C.,163.42857142857142
UNIVERSIDAD LIBRE-BOGOTÁ D.C.,163.39126016260164
UNIVERSIDAD DE LA SALLE-BOGOTÁ D.C.,163.07507163323783
UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA-BOGOTÁ D.C.,162.54945054945054
UNIVERSIDAD LIBRE-CUCUTA,162.34883720930233
UNIVERSIDAD DEL VALLE-CALI,161.9452423698384
UNIVERSIDAD DEL CAUCA-POPAYAN,161.6159169550173
UNIVERSIDAD PEDAGOGICA NACIONAL-BOGOTÁ D.C.,161.53632148377125
UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI,161.50524737631184
UNIVERSIDAD DE CALDAS-MANIZALES,161.18573797678275
UNIVERSIDAD PONTIFICIA BOLIVARIANA-BUCARAMANGA,161.18451400329488
FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD-BOGOTÁ D.C.,161.07865168539325
CORPORACION UNIVERSITARIA EMPRESARIAL ALEXANDER VON HUMBOLDT - C.U.E.-ARMENIA,160.8617886178862
UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.,160.78753993610223
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,160.52438435538386
UNIVERSIDAD DE SAN BUENAVENTURA-BOGOTÁ D.C.,160.3425605536332
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,159.8481152993348
UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,159.8090310442145
FUNDACION UNIVERSITARIA SANITAS-BOGOTÁ D.C.,159.78362573099415
FUNDACION UNIVERSITARIA JUAN N. CORPAS-BOGOTÁ D.C.,159.73417721518987
ESCUELA MILITAR DE AVIACIONMARCO FIDEL SUAREZ-CALI,159.31034482758622
UNIVERSIDAD NACIONAL DE COLOMBIA-PALMIRA,159.21256038647343
ESCUELA DE INGENIEROS MILITARES-BOGOTÁ D.C.,158.72727272727272
UNIVERSIDAD MANUELA BELTRAN-UMB--BOGOTÁ D.C.,158.16824196597352
UNIVERSIDAD SANTO TOMAS-BUCARAMANGA,158.1146095717884
CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA-BOGOTÁ D.C.,158.0080971659919
UNIVERSIDAD LA GRAN COLOMBIA-ARMENIA,157.76153846153846
INSTITUCIÓN UNIVERSITARIA COMFAMILIAR RISARALDA,157.71428571428572
UNIVERSIDAD DE NARIÑO-PASTO,156.92992700729928
UNIVERSIDAD CENTRAL-BOGOTÁ D.C.,156.77890011223346
UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES UDCA.-BOGOTÁ D.C.,156.51307847082495
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-DUITAMA,156.39344262295083
INSTITUTO DEPARTAMENTAL DE BELLAS ARTES-CALI,156.33333333333334
FUNDACION UNIVERSITARIA SEMINARIO TEOLOGICO BAUTISTA INTERNACIONAL- UNIBAUTISTA-CALI,156.2
UNIVERSIDAD CATOLICA DE ORIENTE-RIONEGRO,155.93093922651934
INSTITUTO TECNOLOGICO METROPOLITANO-MEDELLIN,155.6590909090909
CORPORACION ESCUELA DE ARTES Y LETRAS-BOGOTÁ D.C.,155.5952380952381
INSTITUCION UNIVERSITARIA LATINA - UNILATINA-BOGOTÁ D.C.,155.4
UNIVERSIDAD DE IBAGUE-IBAGUE,155.22177419354838
UNIVERSIDAD DEL QUINDIO-ARMENIA,155.1833872707659
UNIVERSIDAD CATOLICA DE COLOMBIA-BOGOTÁ D.C.,155.179
FUNDACION UNIVERSITARIA CAFAM-BOGOTÁ D.C.,155.1639344262295
CORPORACION UNIVERSITARIA TALLER CINCO CENTRO DE DISEÑO-BOGOTÁ D.C.,155.1578947368421
UNIVERSIDAD SURCOLOMBIANA-NEIVA,155.013437849944
UNIVERSIDAD DE LOS LLANOS-VILLAVICENCIO,154.42816091954023
UNIVERSIDAD SANTO TOMAS-TUNJA,154.36326530612246
UNIVERSIDAD DE CARTAGENA-CARTAGENA,154.28274760383385
UNIVERSIDAD DEL ATLANTICO-BARRANQUILLA,154.19634703196348
FUNDACION UNIVERSITARIA BELLAS ARTES-MEDELLIN,154.16363636363636
POLITECNICO COLOMBIANOJAIME ISAZA CADAVID-MEDELLIN,154.15602836879432
CORPORACION UNIVERSITARIA PARA EL DESARROLLO EMPRESARIAL Y SOCIAL- CUDES-CALI,154.125
ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL -BOGOTÁ D.C.,153.90384615384616
UNIVERSIDAD LIBRE-BARRANQUILLA,153.72568940493468
UNIVERSIDAD LA GRAN COLOMBIA-BOGOTÁ D.C.,153.61865569272976
UNIVERSIDAD PONTIFICIA BOLIVARIANA-MONTERIA,153.61513157894737
UNIVERSIDAD SERGIO ARBOLEDA-SANTA MARTA,153.4851485148515
UNIVERSIDAD ECCI-BOGOTÁ D.C.,153.2521670606777
UNIDAD CENTRAL DEL VALLE DEL CAUCA-TULUA,153.12457912457913
INSTITUCION UNIVERSITARIA DE ENVIGADO-ENVIGADO,153.10638297872342
FUNDACION UNIVERSIDAD DE BOGOTAJORGE TADEO LOZANO-CARTAGENA,153.02173913043478
UNIVERSIDAD LIBRE-PEREIRA,153.00533333333334
FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC--BOGOTÁ D.C.,152.83516483516485
FUNDACION UNIVERSITARIA EMPRESARIAL DE LA CAMARA DE COMERCIO DE Bogotá -BOGOTÁ D.C.,152.75694444444446
CORPORACION UNIVERSITARIA LASALLISTA-CALDAS,152.60930232558138
CORPORACION COLEGIATURA COLOMBIANA-MEDELLIN,152.58267716535434
UNIVERSIDAD PONTIFICIA BOLIVARIANA-PALMIRA,152.33333333333334
UNIVERSIDAD DE MANIZALES-MANIZALES,152.32846715328466
COLEGIO MAYOR DE ANTIOQUIA-MEDELLIN,152.2325581395349
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,151.98157894736843
UNIVERSIDAD AUTONOMA LATINOAMERICANA-UNAULA-MEDELLIN,151.76111111111112
UNIVERSIDAD LIBRE-SOCORRO,151.59459459459458
UNIVERSIDAD DE CUNDINAMARCA-UDEC-GIRARDOT,151.1
FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA -UNIAGRARIA-BOGOTÁ D.C.,150.9665551839465
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-CHIQUINQUIRA,150.9
UNIVERSIDAD DE SAN BUENAVENTURA-MEDELLIN,150.80704441041348
UNIVERSIDAD CATOLICA DE PEREIRA-PEREIRA,150.60660660660662
CORPORACION UNIVERSITARIA ADVENTISTA-MEDELLIN,150.225
FUNDACION UNIVERSITARIA-CEIPA-SABANETA,150.10454545454544
UNIVERSIDAD DE CUNDINAMARCA-UDEC-FUSAGASUGA,149.99624765478424
UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA-SANTA MARTA,149.72639225181598
UNIVERSIDAD CATOLICA DE MANIZALES-MANIZALES,149.52866242038218
CORPORACION UNIVERSITARIA EMPRESARIAL DE SALAMANCA-BARRANQUILLA,149.49019607843138
UNIVERSIDAD FRANCISCO DE PAULA SANTANDER-CUCUTA,149.34332619557458
FUNDACION UNIVERSITARIA LOS LIBERTADORES-BOGOTÁ D.C.,149.1537335285505
UNIVERSITARIA AGUSTINIANA- UNIAGUSTINIANA-BOGOTÁ D.C.,149.02660217654173
UNIVERSIDAD DE SAN BUENAVENTURA-CALI,148.86084142394822
UNIVERSIDAD LIBRE-CALI,148.8523316062176
CORPORACION UNIVERSITARIA  UNITEC-BOGOTÁ D.C.,148.6267942583732
UNIVERSIDAD DEL TOLIMA-IBAGUE,148.48167539267016
INSTITUCION UNIVERSITARIA SALAZAR Y HERRERA-MEDELLIN,148.36263736263737
UNIVERSIDAD DE SUCRE-SINCELEJO,148.2855093256815
FUNDACION DE ESTUDIOS SUPERIORES UNIVERSITARIOS DE URABA ANTONIO ROLDAN BETANCUR-APARTADO,148.1818181818182
FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM-MEDELLIN,147.89204025617568
UNIVERSIDAD MARIANA-PASTO,147.83440860215055
FUNDACION UNIVERSITARIA DE SAN GIL - UNISANGIL -SAN GIL,147.7394540942928
UNIVERSIDAD DE ANTIOQUIA-ANDES,147.66666666666666
CORPORACION UNIVERSITARIA DE INVESTIGACION Y DESARROLLO -UDI-BUCARAMANGA,147.65615141955837
INSTITUCION UNIVERSITARIA COLEGIOS DE COLOMBIA -UNICOC-BOGOTÁ D.C.,147.31638418079095
UNIVERSIDAD DE SANTANDER - UDES-BUCARAMANGA,147.29360780065005
UNIVERSIDAD MANUELA BELTRAN-UMB--BUCARAMANGA,147.15
UNIVERSIDAD DE ANTIOQUIA-CAUCASIA,146.78048780487805
FUNDACION UNIVERSITARIA MONSERRATE - UNIMONSERRATE-BOGOTÁ D.C.,146.75
FUNDACION UNIVERSITARIA COLOMBO INTERNACIONAL - UNICOLOMBO-CARTAGENA,146.70344827586206
ESCUELA NACIONAL DEL DEPORTE-CALI,146.59848484848484
"ELITE- ESCUELA LATINOAMERICANA DE INGENIEROS, TECNOLOGOS Y EMPRESARIOS-BOGOTÁ D.C.",146.45454545454547
CORPORACION UNIVERSITARIA REPUBLICANA-BOGOTÁ D.C.,146.3783783783784
"CORPORACION UNIVERSIDAD DE LA COSTA, CUC-BARRANQUILLA",146.27449249779346
UNIVERSIDAD AUTONOMA DEL CARIBE-BARRANQUILLA,146.19056261343013
INSTITUCION  UNIVERSITARIA PASCUAL BRAVO-MEDELLIN,146.1271186440678
FUNDACION UNIVERSITARIA AUTONOMA DE LAS AMERICAS-MEDELLIN,145.83783783783784
UNIPANAMERICANA - FUNDACION UNIVERSITARIA PANAMERICANA-BOGOTÁ D.C.,145.63929618768327
CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-BELLO,145.50738916256157
UNIVERSIDAD DE SAN BUENAVENTURA-CARTAGENA,145.4742268041237
UNIVERSIDAD DE CUNDINAMARCA-UDEC-UBATE,145.14754098360655
FUNDACION UNIVERSITARIA CATOLICA DEL NORTE-SANTA ROSA DE OSOS,145.13698630136986
UNIDADES TECNOLOGICAS DE SANTANDER-BUCARAMANGA,145.0878243512974
FUNDACION UNIVERSITARIA INTERNACIONAL DEL TROPICO AMERICANO-YOPAL,145.06521739130434
FUNDACION UNIVERSITARIA ESUMER-MEDELLIN,145.03517587939697
UNIVERSIDAD COOPERATIVA DE COLOMBIA-MEDELLIN,144.87418655097613
UNIVERSIDAD DEL SINÚ 'Elías Bechara Zainúm' - UNISINÚ-CARTAGENA,144.85793871866295
FUNDACION ESCUELA COLOMBIANA DE REHABILITACION-BOGOTÁ D.C.,144.77083333333334
UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C.,144.6781519185591
CORPORACION UNIVERSITARIA DE SABANETA- UNISABANETA-SABANETA,144.616
FUNDACION UNIVERSITARIA SAN MARTIN-BOGOTÁ D.C.,144.57692307692307
UNIVERSIDAD DE PAMPLONA-PAMPLONA,144.50362473347548
INSTITUCION UNIVERSITARIA ITSA-SOLEDAD,144.19354838709677
CORPORACION UNIVERSITARIA DE ASTURIAS-BOGOTÁ D.C.,144.15942028985506
ESCUELA DE LOGISTICA-BOGOTÁ D.C.,144.14285714285714
CONSERVATORIO DEL TOLIMA-IBAGUE,143.90322580645162
TECNOLOGICO DE ANTIOQUIA-MEDELLIN,143.6782608695652
CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA-GIRARDOT,143.66363636363636
UNIVERSIDAD COOPERATIVA DE COLOMBIA-BARRANCABERMEJA,143.0090909090909
UNIVERSIDAD POPULAR DEL CESAR-VALLEDUPAR,142.8659793814433
ESCUELA NAVAL DE CADETESALMIRANTE PADILLA-CARTAGENA,142.82014388489208
UNIVERSITARIA VIRTUAL INTERNACIONAL-BOGOTÁ D.C.,142.75
CORPORACION UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICIENCIA-BOGOTÁ D.C.,142.67708333333334
UNIVERSIDAD COOPERATIVA DE COLOMBIA-BUCARAMANGA,142.62857142857143
CORPORACION UNIVERSITARIA DEL META-VILLAVICENCIO,142.61825726141078
FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS-TUNJA,142.41825095057035
UNIVERSIDAD FRANCISCO DE PAULA SANTANDER-OCAÑA,142.41228070175438
UNIVERSIDAD INCCA DE COLOMBIA-BOGOTÁ D.C.,142.27891156462584
POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,142.21991203518593
UNIVERSIDAD SANTIAGO DE CALI-CALI,142.15351812366737
FUNDACION UNIVERSITARIA DEL AREA ANDINA-PEREIRA,142.08687258687257
ESCUELA DE ADMINISTRACION Y MERCADOTECNIA DEL QUINDIO-ARMENIA,142.03846153846155
UNIVERSIDAD DE CORDOBA-MONTERIA,142.00433436532506
UNIVERSIDAD DE LA AMAZONIA-FLORENCIA,141.89661654135338
INSTITUCION UNIVERSITARIA COMANDO DE EDUCACION Y DOCTRINA - CEDOC,141.71428571428572
INSTITUCION UNIVERSITARIA MARCO FIDEL SUAREZ-BELLO,141.47368421052633
ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-BOGOTÁ D.C.,141.45272727272726
FUNDACION UNIVERSITARIA DEL AREA ANDINA-BOGOTÁ D.C.,141.36244684331044
UNIVERSIDAD SANTIAGO DE CALI-PALMIRA,141.2289156626506
CORPORACION UNIVERSITARIA DE COLOMBIA IDEAS-BOGOTÁ D.C.,141.14285714285714
FUNDACION PARA LA EDUCACION SUPERIOR SAN MATEO FUNDACION SAN MATEO-BOGOTÁ D.C.,141.0565371024735
UNIVERSIDAD DEL SINÚ 'Elías Bechara Zainúm' - UNISINÚ-MONTERIA,140.876
INSTITUCION UNIVERSITARIA CENTRO DE ESTUDIOS SUPERIORES MARIA GORETTI-PASTO,140.7835051546392
FUNDACION UNIVERSITARIA MARIA CANO-MEDELLIN,140.66336633663366
UNIVERSIDAD DE ANTIOQUIA-TURBO,140.5
UNIVERSIDAD SIMON BOLIVAR-BARRANQUILLA,140.36269430051814
INSTITUTO SUPERIOR DE CIENCIAS SOCIALES Y ECONOMICO FAMILIARES-ICSEF-BOGOTÁ D.C.,140.25
CORPORACION UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA-POPAYAN,140.0921985815603
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,139.89553656220323
FUNDACION UNIVERSITARIA CERVANTINA SAN AGUSTIN - UNICERVANTINA SAN AGUSTIN-BOGOTÁ D.C.,139.875
UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C.,139.7375831052014
FUNDACION UNIVERSITARIA PARA EL DESARROLLO HUMANO - UNINPAHU-BOGOTÁ D.C.,139.70542635658916
CORPORACION UNIVERSITARIA IBEROAMERICANA-BOGOTÁ D.C.,139.57548579970106
ESCUELA MILITAR DE CADETES GENERAL JOSE MARIA CORDOVA-BOGOTÁ D.C.,139.46774193548387
UNIVERSIDAD COOPERATIVA DE COLOMBIA-SANTA MARTA,139.18359375
INSTITUTO UNIVERSITARIO DE LA PAZ-BARRANCABERMEJA,139.159509202454
FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA      -CARTAGENA,138.98
INSTITUCION UNIVERSITARIA DE COLOMBIA - UNIVERSITARIA DE COLOMBIA-BOGOTÁ D.C.,138.82608695652175
UNIVERSIDAD DEL PACIFICO-BUENAVENTURA,138.8
CORPORACION UNIVERSITARIA REFORMADA - CUR -BARRANQUILLA,138.47058823529412
CORPORACION UNIVERSITARIA AMERICANA-BARRANQUILLA,138.27513227513228
UNIVERSIDAD POPULAR DEL CESAR-AGUACHICA,138.27450980392157
CORPORACION UNIVERSITARIA DEL CARIBE - CECAR-SINCELEJO,137.9625
UNIVERSIDAD METROPOLITANA-BARRANQUILLA,137.90495049504952
CORPORACION UNIVERSITARIA CENDA-BOGOTÁ D.C.,137.75675675675674
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-SANTA ROSA DE CABAL,137.710843373494
FUNDACIÓN UNIVERSITARIA SAN ALFONSO- FUSA-BOGOTÁ D.C.,137.42105263157896
CORPORACION UNIVERSITARIA U DE COLOMBIA-MEDELLIN,137.4
CORPORACION UNIVERSITARIA DEL HUILA-CORHUILA-NEIVA,137.39690721649484
CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-BOGOTÁ D.C.,137.18747223456242
INSTITUCION UNIVERSITARIA BELLAS ARTES Y CIENCIAS DE BOLIVAR-CARTAGENA,137.0248447204969
CORPORACION UNIVERSITARIA AUTONOMA DEL CAUCA-POPAYAN,136.91812865497076
CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.,136.83663366336634
FUNDACION UNIVERSITARIA NAVARRA - UNINAVARRA-NEIVA,136.82178217821783
CORPORACION UNIVERSITARIA REMINGTON-MEDELLIN,136.79239130434783
FUNDACION DE EDUCACION SUPERIOR SAN JOSE -FESSANJOSE-BOGOTÁ D.C.,136.77272727272728
CORPORACION UNIVERSITARIA RAFAEL NUÑEZ-CARTAGENA,136.3957894736842
COLEGIO MAYOR DEL CAUCA-POPAYAN,136.28971962616822
INSTITUTO TECNOLOGICO DEL PUTUMAYO-MOCOA,135.22834645669292
FUNDACION UNIVERSITARIA CATOLICA LUMEN GENTIUM-CALI,135.07272727272726
CORPORACION TECNOLOGICA INDUSTRIAL COLOMBIANA - TEINCO-BOGOTÁ D.C.,135.03947368421052
CORPORACION UNIVERSITARIA AUTONOMA DE NARIÑO -AUNAR-PASTO,134.84761904761905
FUNDACION DE ESTUDIOS SUPERIORES COMFANORTE -F.E.S.C.-CUCUTA,134.55737704918033
CORPORACION DE ESTUDIOS TECNOLOGICOS DEL NORTE DEL VALLE-CARTAGO,134.46153846153845
CORPORACION INTERNACIONAL PARA EL DESARROLLO EDUCATIVO -CIDE-BOGOTÁ D.C.,134.4
CORPORACION POLITECNICO DE LA COSTA ATLANTICA-BARRANQUILLA,134.22641509433961
INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO - UNIAJC-CALI,134.125
FUNDACION DE ESTUDIOS SUPERIORES MONSEÑOR ABRAHAM ESCUDERO MONTOYA- FUNDES-ESPINAL,133.55769230769232
INSTITUCION UNIVERSITARIA ESCOLME-MEDELLIN,133.42424242424244
FUNDACION UNIVERSITARIA HORIZONTE-BOGOTÁ D.C.,133.35
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - C.I.A.F.-PEREIRA,133.20833333333334
CORPORACION UNIVERSITARIA CENTRO SUPERIOR - UNICUCES-CALI,131.75757575757575
CORPORACION UNIVERSITARIA ANTONIO JOSE DE SUCRE - CORPOSUCRE-SINCELEJO,131.42997542997543
UNIVERSIDAD DE LA GUAJIRA-RIOHACHA,131.38083228247163
FUNDACION UNIVERSITARIA DE POPAYAN-POPAYAN,130.71868583162217
COLEGIO MAYOR DE BOLIVAR-CARTAGENA,130.14
INSTITUTO DE EDUCACION TECNICA PROFESIONAL DE ROLDANILLO-ROLDANILLO,129.77241379310345
DIRECCION NACIONAL DE ESCUELAS-BOGOTÁ D.C.,129.6241610738255
FUNDACION ESCUELA TECNOLOGICA DE NEIVA - JESUS OVIEDO PEREZ-NEIVA,129.56060606060606
INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL -ESPINAL,129.3938223938224
CORPORACION UNIVERSITARIA LATINOAMERICANA- CUL-BARRANQUILLA,128.46206896551723
"CORPORACION UNIVERSITARIA DE CIENCIAS EMPRESARIALES, EDUCACION Y SALUD -CORSALUD-BARRANQUILLA",128.4
FUNDACION TECNOLOGICA ANTONIO DE AREVALO-CARTAGENA,128.0
INSTITUTO TECNICO AGRICOLA-ITA-BUGA,127.0
CORPORACION ESCUELA TECNOLOGICA DEL ORIENTE-BUCARAMANGA,126.6875
FUNDACION UNIVERSITARIA CLARETIANA - UNICLARETIANA-QUIBDO,124.41258741258741
FUNDACION UNIVERSITARIA COMFENALCO SANTANDER-BUCARAMANGA,120.25
UNIVERSIDAD TECNOLOGICA DEL CHOCODIEGO LUIS CORDOBA-QUIBDO,120.17438271604938
CORPORACION UNIVERSITARIA REGIONAL DEL CARIBE- IAFIC-CARTAGENA,114.80952380952381
FUNDACION TECNOLOGICA COLOMBO- GERMANA-BOGOTÁ D.C.,94.0
